Customer_ID,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Internet_Service,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn
CUST0067,Male,0,Yes,Yes,9,Yes,Fiber optic,Month-to-month,Yes,Credit card,90.77,881.33,Yes
CUST0068,Female,0,No,Yes,26,Yes,DSL,Month-to-month,No,Mailed check,71.89,1907.24,No
CUST0069,Male,0,Yes,No,9,Yes,No,Two year,No,Electronic check,34.55,316.41,Yes
CUST0070,Male,0,No,Yes,15,Yes,Fiber optic,Two year,Yes,Credit card,98.99,1544.8,No
CUST0071,Male,0,No,Yes,10,Yes,DSL,Month-to-month,Yes,Mailed check,66.78,758.04,No
CUST0072,Male,0,No,Yes,42,No,Fiber optic,One year,No,Mailed check,89.01,3776.74,Yes
CUST0073,Female,0,No,Yes,72,Yes,No,Month-to-month,Yes,Credit card,40.26,2920.35,No
CUST0074,Male,0,No,Yes,24,Yes,No,Month-to-month,Yes,Credit card,37.97,955.54,No
CUST0075,Female,1,No,No,49,Yes,DSL,One year,Yes,Mailed check,65.49,3213.85,No
CUST0076,Male,0,Yes,No,26,Yes,DSL,Two year,Yes,Credit card,72.13,1957.43,No
CUST0077,Male,0,Yes,No,37,Yes,DSL,Two year,No,Bank transfer,71.12,2714.07,No
CUST0078,Male,0,No,No,68,Yes,Fiber optic,One year,No,Credit card,87.42,6003.36,No
CUST0079,Female,0,No,Yes,50,Yes,Fiber optic,Month-to-month,No,Credit card,94.85,4777.81,No
CUST0080,Male,0,Yes,No,24,Yes,Fiber optic,One year,No,Credit card,99.57,2469.66,No
CUST0081,Female,0,No,No,19,Yes,DSL,Month-to-month,Yes,Mailed check,73.43,1450.64,Yes
CUST0082,Male,0,No,Yes,60,No,No,One year,Yes,Bank transfer,30.72,1925.79,No
CUST0083,Female,0,Yes,No,39,Yes,No,Month-to-month,No,Electronic check,31.03,1273.32,Yes
CUST0084,Male,0,No,No,18,Yes,Fiber optic,One year,No,Electronic check,91.27,1721.3,No
CUST0085,Female,0,No,No,19,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,86.75,1708.11,No
CUST0086,Female,0,No,No,36,Yes,No,Month-to-month,No,Bank transfer,39.19,1452.25,No
CUST0087,Male,1,Yes,No,55,Yes,No,Two year,No,Bank transfer,44.08,2520.19,No
CUST0088,Female,0,Yes,Yes,69,Yes,Fiber optic,Month-to-month,Yes,Mailed check,94.93,6604.28,No
CUST0089,Male,0,Yes,No,47,Yes,Fiber optic,Month-to-month,No,Electronic check,86.15,4109.56,Yes
CUST0090,Male,0,No,Yes,49,No,No,Month-to-month,Yes,Bank transfer,25.32,1262.73,Yes
CUST0091,Male,0,No,No,33,Yes,DSL,Month-to-month,Yes,Mailed check,73.26,2480.15,No
CUST0092,Male,0,Yes,No,21,No,Fiber optic,Month-to-month,No,Electronic check,81.05,1759.21,No
CUST0093,Male,0,No,No,22,Yes,No,Month-to-month,Yes,Credit card,42.5,953.48,No
CUST0094,Male,0,No,No,48,Yes,No,Two year,No,Mailed check,42.22,2032.52,No
CUST0095,Male,0,No,Yes,37,Yes,No,Month-to-month,Yes,Electronic check,39.18,1510.1,No
CUST0096,Male,0,No,Yes,15,Yes,No,Two year,No,Mailed check,35.6,610.37,No
CUST0097,Male,0,No,Yes,35,No,DSL,One year,No,Electronic check,58.83,2111.39,No
CUST0098,Male,0,Yes,Yes,71,Yes,No,Month-to-month,No,Electronic check,31.59,2265.57,No
CUST0099,Male,0,No,No,32,Yes,Fiber optic,One year,Yes,Credit card,90.32,2956.89,No
CUST0100,Female,0,Yes,No,11,Yes,DSL,Month-to-month,Yes,Mailed check,71.2,791.21,Yes
CUST0101,Female,0,No,Yes,10,Yes,No,One year,No,Bank transfer,40.14,445.58,Yes
CUST0102,Male,1,Yes,No,57,Yes,DSL,Month-to-month,Yes,Credit card,74.87,4283.93,No
CUST0103,Male,0,No,No,25,No,Fiber optic,Month-to-month,No,Credit card,76.05,1919.7,No
CUST0104,Male,0,Yes,No,2,Yes,No,Two year,No,Electronic check,35.93,92.09,No
CUST0105,Male,0,No,No,64,Yes,Fiber optic,Two year,Yes,Bank transfer,87.73,5653.39,No
CUST0106,Male,0,Yes,Yes,35,Yes,No,Two year,No,Mailed check,32.35,1137.37,No
CUST0107,Male,0,No,No,7,Yes,No,Month-to-month,Yes,Bank transfer,42.41,336.65,Yes
CUST0108,Male,0,Yes,No,18,Yes,No,One year,No,Bank transfer,30.63,602.51,No
CUST0109,Male,1,No,No,67,Yes,No,Month-to-month,Yes,Bank transfer,36.29,2479.76,No
CUST0110,Female,0,Yes,Yes,42,Yes,No,Month-to-month,No,Bank transfer,32.52,1404.12,No
CUST0111,Male,0,Yes,No,39,Yes,DSL,Month-to-month,No,Bank transfer,78.19,3133.32,No
CUST0112,Female,0,No,Yes,41,Yes,No,One year,Yes,Electronic check,38.36,1587.29,No
CUST0113,Male,0,No,Yes,24,Yes,No,Month-to-month,No,Electronic check,33.47,853.85,No
CUST0114,Male,0,Yes,No,60,Yes,DSL,Month-to-month,No,Credit card,72.54,4358.6,No
CUST0115,Female,1,No,No,46,Yes,DSL,Two year,Yes,Electronic check,75.97,3501.74,No
CUST0116,Male,0,Yes,No,19,Yes,DSL,Month-to-month,No,Credit card,79.37,1565.42,No
CUST0117,Female,1,Yes,Yes,68,Yes,DSL,Month-to-month,Yes,Credit card,68.31,4701.68,No
CUST0118,Male,1,Yes,No,42,Yes,DSL,Month-to-month,No,Mailed check,78.29,3375.98,Yes
CUST0119,Male,0,No,Yes,32,Yes,DSL,Two year,Yes,Bank transfer,79.01,2584.11,No
CUST0120,Female,0,Yes,Yes,39,Yes,No,Month-to-month,No,Electronic check,43.75,1802.23,No
CUST0121,Male,0,Yes,No,36,Yes,No,Month-to-month,No,Mailed check,39.53,1427.95,No
CUST0122,Female,0,No,No,36,Yes,Fiber optic,Two year,No,Electronic check,94.45,3410.0,Yes
CUST0123,Male,0,No,No,3,No,No,Two year,Yes,Credit card,26.05,82.56,No
CUST0124,Female,0,No,No,8,Yes,No,Month-to-month,Yes,Electronic check,41.29,348.85,Yes
CUST0125,Female,0,No,No,70,Yes,DSL,One year,Yes,Bank transfer,72.97,5162.03,No
CUST0126,Male,0,Yes,No,41,Yes,DSL,One year,Yes,Credit card,75.16,3146.12,No
CUST0127,Male,1,Yes,Yes,68,Yes,No,One year,No,Credit card,36.43,2481.8,No
CUST0128,Female,0,Yes,No,13,Yes,Fiber optic,Month-to-month,No,Mailed check,95.97,1342.21,No
CUST0129,Male,0,Yes,No,49,Yes,DSL,Two year,Yes,Bank transfer,77.37,3875.35,No
CUST0130,Male,0,No,Yes,60,Yes,No,Month-to-month,Yes,Credit card,32.2,1961.66,Yes
CUST0131,Male,0,Yes,No,2,Yes,No,Month-to-month,Yes,Bank transfer,42.49,92.7,Yes
CUST0132,Female,0,Yes,No,60,Yes,Fiber optic,Month-to-month,No,Electronic check,93.1,5602.99,Yes
CUST0133,Female,0,No,Yes,5,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,97.67,501.04,No
CUST0134,Female,1,Yes,Yes,44,Yes,DSL,Month-to-month,Yes,Credit card,71.47,3157.01,Yes
CUST0135,Female,0,Yes,No,27,Yes,Fiber optic,One year,No,Mailed check,90.69,2500.49,No
CUST0136,Female,0,Yes,Yes,32,Yes,No,Month-to-month,No,Credit card,43.73,1423.94,Yes
CUST0137,Female,0,Yes,No,21,Yes,No,Month-to-month,Yes,Bank transfer,33.77,744.98,No
CUST0138,Female,0,Yes,No,8,Yes,Fiber optic,Month-to-month,No,Bank transfer,97.66,880.23,No
CUST0139,Female,0,Yes,No,72,Yes,Fiber optic,Month-to-month,Yes,Credit card,92.26,6711.15,Yes
CUST0140,Female,0,No,No,50,Yes,Fiber optic,Two year,No,Bank transfer,92.71,4730.4,No
CUST0141,Male,1,No,No,67,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.63,6019.47,Yes
CUST0142,Female,0,Yes,No,44,Yes,DSL,Month-to-month,Yes,Credit card,73.6,3276.61,No
CUST0143,Male,0,Yes,No,58,Yes,Fiber optic,Month-to-month,Yes,Mailed check,89.88,5268.51,No
CUST0144,Male,0,No,No,3,Yes,DSL,Month-to-month,Yes,Credit card,65.59,204.45,No
CUST0145,Male,0,Yes,Yes,70,Yes,No,Month-to-month,No,Electronic check,34.08,2386.02,No
CUST0146,Female,1,Yes,No,2,Yes,Fiber optic,One year,No,Electronic check,85.1,237.24,No
CUST0147,Female,1,Yes,No,44,Yes,DSL,Two year,No,Electronic check,79.68,3570.1,No
CUST0148,Female,0,No,No,2,No,Fiber optic,Month-to-month,No,Electronic check,89.49,220.06,Yes
CUST0149,Female,0,Yes,No,35,Yes,No,One year,Yes,Electronic check,35.93,1306.51,No
CUST0150,Male,0,No,No,30,Yes,No,One year,Yes,Mailed check,40.93,1269.44,No
CUST0151,Female,0,Yes,No,8,Yes,No,Two year,No,Bank transfer,35.19,283.92,No
CUST0152,Female,1,No,No,22,Yes,Fiber optic,Month-to-month,No,Electronic check,95.07,2125.08,No
CUST0153,Female,0,No,No,44,No,Fiber optic,Month-to-month,No,Electronic check,87.08,3849.23,Yes
CUST0154,Female,0,Yes,No,58,Yes,DSL,Month-to-month,No,Credit card,79.2,4603.44,No
CUST0155,Female,0,No,No,36,Yes,No,One year,No,Mailed check,36.0,1391.67,No
CUST0156,Male,1,Yes,No,69,Yes,Fiber optic,Two year,Yes,Mailed check,96.75,6735.69,No
CUST0157,Female,0,No,Yes,31,Yes,No,Month-to-month,Yes,Bank transfer,33.99,1126.56,No
CUST0158,Male,0,Yes,No,47,Yes,No,Month-to-month,Yes,Mailed check,44.85,2139.49,Yes
CUST0159,Female,1,Yes,No,55,Yes,DSL,Two year,No,Credit card,65.39,3635.76,No
CUST0160,Male,0,No,Yes,62,Yes,DSL,Two year,No,Credit card,74.05,4614.79,No
CUST0161,Female,0,Yes,No,30,No,DSL,Two year,No,Bank transfer,64.89,1956.4,No
CUST0162,Female,1,Yes,Yes,55,Yes,DSL,One year,No,Credit card,75.32,4160.5,No
CUST0163,Male,1,No,No,16,Yes,No,Month-to-month,Yes,Electronic check,31.81,588.71,No
CUST0164,Male,0,Yes,No,12,Yes,DSL,One year,Yes,Electronic check,79.08,1016.71,No
CUST0165,Male,0,Yes,Yes,17,Yes,DSL,One year,No,Credit card,67.72,1205.93,No
CUST0166,Female,0,No,No,16,Yes,DSL,Month-to-month,Yes,Bank transfer,74.34,1236.95,No
CUST0167,Male,0,No,No,12,Yes,DSL,Month-to-month,Yes,Mailed check,68.34,912.32,No
CUST0168,Female,0,Yes,No,8,Yes,No,One year,No,Bank transfer,34.61,284.15,No
CUST0169,Female,0,Yes,Yes,3,Yes,DSL,Month-to-month,No,Mailed check,73.2,247.66,Yes
CUST0170,Male,0,No,Yes,16,No,No,One year,No,Credit card,26.26,455.15,No
CUST0171,Male,0,No,No,30,Yes,Fiber optic,One year,No,Credit card,87.4,2700.24,No
CUST0172,Female,0,Yes,No,23,Yes,No,Two year,No,Electronic check,32.56,848.13,No
CUST0173,Female,0,No,No,5,Yes,No,Month-to-month,No,Mailed check,36.27,205.42,No
CUST0174,Male,0,Yes,Yes,65,Yes,DSL,Month-to-month,Yes,Bank transfer,76.36,5050.83,No
CUST0175,Male,0,Yes,No,30,Yes,Fiber optic,One year,Yes,Credit card,98.47,3037.16,No
CUST0176,Male,0,Yes,No,21,Yes,Fiber optic,Month-to-month,No,Bank transfer,86.26,1833.93,No
CUST0177,Female,0,Yes,No,70,No,Fiber optic,One year,Yes,Electronic check,80.9,5702.93,No
CUST0178,Female,1,Yes,Yes,22,Yes,Fiber optic,One year,No,Mailed check,86.5,1943.97,No
CUST0179,Female,0,No,No,72,No,No,Month-to-month,No,Mailed check,20.25,1555.82,No
CUST0180,Female,0,No,No,32,Yes,Fiber optic,Month-to-month,No,Credit card,94.93,3055.85,No
CUST0181,Female,0,No,No,33,Yes,No,Month-to-month,No,Mailed check,39.04,1368.24,No
CUST0182,Female,0,No,No,16,Yes,No,Month-to-month,Yes,Credit card,32.45,552.62,No
CUST0183,Male,0,Yes,No,38,Yes,No,Two year,No,Electronic check,33.51,1346.47,No
CUST0184,Female,0,Yes,No,14,Yes,Fiber optic,Two year,Yes,Mailed check,85.36,1237.04,No
CUST0185,Female,0,Yes,Yes,36,Yes,DSL,One year,No,Credit card,77.52,2848.56,Yes
CUST0186,Female,0,Yes,No,23,Yes,DSL,One year,No,Bank transfer,79.62,1914.52,No
CUST0187,Male,0,No,No,66,Yes,Fiber optic,Month-to-month,No,Credit card,87.03,5824.4,No
CUST0188,Female,0,Yes,Yes,2,Yes,DSL,Two year,Yes,Mailed check,68.47,223.58,No
CUST0189,Female,0,Yes,No,65,Yes,DSL,One year,No,Electronic check,78.03,5077.91,No
CUST0190,Male,0,No,No,67,Yes,No,One year,No,Mailed check,43.9,3010.51,No
CUST0191,Female,0,No,Yes,52,Yes,No,Two year,No,Mailed check,36.29,1901.08,No
CUST0192,Female,1,No,No,62,No,Fiber optic,Month-to-month,Yes,Credit card,75.76,4738.7,Yes
CUST0193,Female,0,No,No,23,Yes,Fiber optic,Two year,Yes,Bank transfer,85.59,2023.43,No
CUST0194,Female,0,Yes,No,26,No,DSL,Month-to-month,Yes,Mailed check,63.61,1694.13,No
CUST0195,Female,0,Yes,Yes,68,Yes,No,Month-to-month,No,Bank transfer,35.89,2492.48,No
CUST0196,Male,1,No,No,55,Yes,Fiber optic,Month-to-month,Yes,Credit card,85.43,4798.3,No
CUST0197,Male,1,Yes,No,6,Yes,Fiber optic,Two year,No,Bank transfer,93.75,576.02,No
CUST0198,Male,0,Yes,No,35,Yes,Fiber optic,Two year,Yes,Credit card,85.17,3048.5,No
CUST0199,Female,0,Yes,No,22,Yes,Fiber optic,One year,Yes,Electronic check,96.81,2169.42,Yes
CUST0200,Female,0,No,Yes,43,Yes,Fiber optic,One year,No,Bank transfer,89.6,3866.1,No
CUST0201,Female,0,Yes,No,15,Yes,Fiber optic,One year,Yes,Bank transfer,85.6,1299.87,No
CUST0202,Male,0,No,Yes,60,Yes,DSL,Two year,No,Electronic check,73.83,4524.73,No
CUST0203,Female,0,Yes,Yes,12,Yes,No,Month-to-month,No,Bank transfer,35.97,519.6,No
CUST0204,Female,1,Yes,No,49,Yes,No,Month-to-month,Yes,Electronic check,44.61,2276.59,No
CUST0205,Male,0,Yes,No,42,Yes,Fiber optic,Month-to-month,No,Mailed check,93.16,4011.87,No
CUST0206,Female,0,No,No,38,Yes,No,One year,No,Credit card,34.13,1317.77,No
CUST0207,Male,0,Yes,No,45,Yes,No,One year,Yes,Electronic check,40.64,1864.34,No
CUST0208,Male,0,No,No,35,Yes,No,Month-to-month,Yes,Bank transfer,34.07,1259.37,Yes
CUST0209,Male,0,No,Yes,30,Yes,Fiber optic,Month-to-month,No,Electronic check,98.56,3005.18,No
CUST0210,Female,0,No,No,30,Yes,Fiber optic,Two year,Yes,Bank transfer,90.62,2760.44,No
CUST0211,Female,0,Yes,No,6,Yes,No,Month-to-month,No,Mailed check,38.25,265.28,Yes
CUST0212,Female,0,Yes,No,67,Yes,No,One year,No,Electronic check,30.76,2120.3,Yes
CUST0213,Female,0,Yes,Yes,7,Yes,Fiber optic,Two year,Yes,Mailed check,91.39,697.29,Yes
CUST0214,Female,0,Yes,No,52,Yes,DSL,Month-to-month,Yes,Credit card,77.49,4045.63,No
CUST0215,Female,1,No,No,14,Yes,No,Month-to-month,Yes,Bank transfer,42.08,636.29,Yes
CUST0216,Female,0,No,Yes,15,Yes,DSL,One year,Yes,Bank transfer,68.36,1080.75,No
CUST0217,Male,0,No,Yes,21,Yes,No,Two year,No,Mailed check,33.39,758.22,No
CUST0218,Female,1,Yes,No,35,Yes,DSL,Month-to-month,No,Credit card,77.26,2725.11,No
CUST0219,Male,0,No,No,66,Yes,DSL,Two year,Yes,Electronic check,78.96,5285.59,No
CUST0220,Female,1,Yes,Yes,2,Yes,DSL,Month-to-month,Yes,Electronic check,66.43,135.38,No
CUST0221,Female,0,No,No,35,Yes,Fiber optic,Month-to-month,No,Bank transfer,91.75,3246.73,No
CUST0222,Female,1,Yes,Yes,20,Yes,DSL,One year,No,Mailed check,70.06,1479.22,No
CUST0223,Male,0,Yes,No,10,Yes,DSL,Two year,No,Mailed check,78.06,836.99,No
CUST0224,Male,1,No,No,25,Yes,DSL,Month-to-month,No,Electronic check,66.25,1682.37,No
CUST0225,Male,0,No,No,66,Yes,No,Two year,Yes,Credit card,33.17,2258.72,No
CUST0226,Male,1,No,No,25,Yes,DSL,One year,No,Credit card,76.29,1963.99,No
CUST0227,Female,0,No,No,54,Yes,No,Month-to-month,No,Electronic check,30.77,1741.2,No
CUST0228,Male,0,Yes,Yes,33,Yes,DSL,Month-to-month,Yes,Electronic check,72.39,2462.37,Yes
CUST0229,Female,1,No,No,36,Yes,DSL,Two year,No,Mailed check,71.63,2639.69,No
CUST0230,Female,0,No,No,14,Yes,Fiber optic,Month-to-month,No,Credit card,90.02,1309.1,Yes
CUST0231,Male,0,No,No,65,Yes,No,Month-to-month,Yes,Electronic check,35.92,2348.12,No
CUST0232,Male,0,Yes,Yes,54,Yes,DSL,Month-to-month,Yes,Electronic check,72.95,3965.43,No
CUST0233,Male,0,Yes,Yes,52,Yes,No,Two year,Yes,Bank transfer,32.42,1727.75,No
CUST0234,Male,0,No,Yes,3,Yes,No,One year,No,Electronic check,38.58,175.67,No
CUST0235,Male,0,Yes,No,41,No,Fiber optic,One year,No,Electronic check,87.08,3621.65,No
CUST0236,Male,1,No,No,6,Yes,Fiber optic,Month-to-month,Yes,Credit card,96.4,607.22,No
CUST0237,Male,0,Yes,No,25,Yes,Fiber optic,One year,Yes,Mailed check,87.31,2183.4,No
CUST0238,Male,0,Yes,No,13,Yes,Fiber optic,One year,No,Credit card,87.24,1183.74,No
CUST0239,Female,1,Yes,No,8,Yes,Fiber optic,Two year,Yes,Mailed check,89.02,740.72,Yes
CUST0240,Male,1,Yes,Yes,21,Yes,Fiber optic,Two year,Yes,Bank transfer,90.42,1972.28,No
CUST0241,Male,0,No,No,68,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.13,6199.23,No
CUST0242,Female,0,No,No,25,Yes,Fiber optic,One year,No,Bank transfer,95.2,2438.48,No
CUST0243,Male,0,No,No,68,Yes,DSL,Month-to-month,No,Mailed check,65.85,4571.95,No
CUST0244,Female,0,Yes,No,45,Yes,No,Month-to-month,No,Credit card,30.52,1390.84,Yes
CUST0245,Female,0,No,No,60,Yes,Fiber optic,Month-to-month,No,Credit card,90.88,5499.96,No
CUST0246,Male,0,No,No,12,Yes,Fiber optic,Month-to-month,No,Bank transfer,95.46,1154.66,No
CUST0247,Female,0,No,Yes,32,Yes,No,Month-to-month,No,Mailed check,32.9,1115.37,No
CUST0248,Female,0,Yes,Yes,13,Yes,DSL,One year,Yes,Bank transfer,74.62,1025.11,No
CUST0249,Female,1,Yes,No,31,Yes,No,Month-to-month,No,Bank transfer,33.9,1091.64,Yes
CUST0250,Female,1,Yes,No,20,Yes,No,One year,No,Electronic check,43.29,917.94,Yes
CUST0251,Male,0,No,No,18,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,98.44,1861.58,No
CUST0252,Female,0,No,No,60,Yes,No,Month-to-month,No,Electronic check,34.46,2087.23,No
CUST0253,Male,0,No,Yes,63,Yes,No,One year,No,Electronic check,33.45,2109.61,No
CUST0254,Female,0,Yes,Yes,6,Yes,Fiber optic,Month-to-month,Yes,Credit card,91.17,633.19,No
CUST0255,Female,0,Yes,No,32,No,Fiber optic,Month-to-month,Yes,Electronic check,78.61,2573.23,No
CUST0256,Female,0,No,No,43,Yes,Fiber optic,One year,Yes,Electronic check,95.09,4177.94,No
CUST0257,Female,1,Yes,Yes,2,Yes,Fiber optic,Month-to-month,No,Credit card,97.39,254.47,No
CUST0258,Male,0,Yes,No,60,Yes,No,Month-to-month,Yes,Bank transfer,40.1,2487.02,No
CUST0259,Male,1,Yes,Yes,23,Yes,No,Month-to-month,No,Mailed check,42.37,1017.48,No
CUST0260,Female,0,Yes,No,31,Yes,DSL,Two year,No,Mailed check,70.95,2274.44,No
CUST0261,Female,0,No,Yes,5,No,DSL,One year,No,Mailed check,57.34,378.0,Yes
CUST0262,Male,0,Yes,No,34,Yes,No,One year,No,Bank transfer,41.07,1453.59,No
CUST0263,Female,1,Yes,No,10,Yes,DSL,One year,Yes,Electronic check,70.41,722.18,Yes
CUST0264,Female,1,Yes,No,2,Yes,No,Month-to-month,Yes,Mailed check,40.07,107.02,Yes
CUST0265,Female,0,Yes,Yes,11,Yes,DSL,Month-to-month,No,Bank transfer,69.06,779.52,No
